Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Area	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -9.8	10/24/20 1529	10/23/20 1500	1.00	 -0.10	 -0.44	 -4.22	 -4.22	198.54	271.07	271.07	 4.5962E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.3574E-08	 2.1300E-03	 4.4037E-08	-4.3574E-08	 0.0000E+00	-1.4617E-08	-2.1500E-03	-8.2416E-09	-1.4617E-08	 0.0000E+00	-3.4970E-10	-7.0000E-05	 1.5417E-09	-3.4970E-10	 0.0000E+00	 1	 3.8088E-11	-4.4846E-11	 2.8767E-09	   5249	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -9.6	10/24/20 1529	10/23/20 1500	1.00	 -0.10	 -4.67	-11.20	-11.20	201.37	271.99	271.99	 4.6237E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.2914E-08	 1.8400E-03	 3.6982E-08	-4.2914E-08	 0.0000E+00	-1.6795E-08	-2.3000E-03	-1.1878E-08	-1.6795E-08	 0.0000E+00	-3.7675E-09	 2.0000E-05	 3.0834E-09	-3.7675E-09	 0.0000E+00	 1	 6.3172E-11	-7.4382E-11	 4.7712E-09	   8706	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -9.4	10/24/20 1529	10/23/20 1500	1.00	 -0.09	 -5.57	-10.79	-10.79	206.86	272.54	272.54	 4.7587E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.2254E-08	 1.8100E-03	 3.6252E-08	-4.2254E-08	 0.0000E+00	-2.1397E-08	-2.4600E-03	-1.5756E-08	-2.1397E-08	 0.0000E+00	-4.6157E-09	 1.3000E-04	 4.9677E-09	-4.6157E-09	 0.0000E+00	 1	 8.8220E-11	-1.0387E-10	 6.6630E-09	  12158	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -9.2	10/24/20 1529	10/23/20 1500	1.00	 -0.09	 -8.86	-15.01	-15.01	208.61	271.89	271.89	 4.8795E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.2324E-08	 1.7400E-03	 3.4549E-08	-4.2324E-08	 0.0000E+00	-2.3090E-08	-2.6000E-03	-1.9150E-08	-2.3090E-08	 0.0000E+00	-7.5193E-09	 1.9000E-04	 5.9955E-09	-7.5193E-09	 0.0000E+00	 1	 1.1334E-10	-1.3345E-10	 8.5604E-09	  15620	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -9.0	10/24/20 1529	10/23/20 1500	1.00	 -0.09	-11.54	-17.78	-17.78	211.87	269.63	269.63	 5.2119E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.3367E-08	 1.6300E-03	 3.1872E-08	-4.3367E-08	 0.0000E+00	-2.6964E-08	-2.7800E-03	-2.3513E-08	-2.6964E-08	 0.0000E+00	-1.0423E-08	 2.7000E-04	 7.3659E-09	-1.0423E-08	 0.0000E+00	 1	 1.4026E-10	-1.6515E-10	 1.0594E-08	  19330	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -8.8	10/24/20 1529	10/23/20 1500	1.00	 -0.09	-13.25	-18.96	-18.96	214.84	267.49	267.49	 5.5894E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.4653E-08	 1.5400E-03	 2.9683E-08	-4.4653E-08	 0.0000E+00	-3.1082E-08	-2.8800E-03	-2.5937E-08	-3.1082E-08	 0.0000E+00	-1.2814E-08	 3.6000E-04	 8.9076E-09	-1.2814E-08	 0.0000E+00	 1	 1.6533E-10	-1.9467E-10	 1.2487E-08	  22785	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -8.6	10/24/20 1529	10/23/20 1500	1.00	 -0.09	-15.17	-20.24	-20.24	217.93	267.96	267.96	 5.8105E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.4236E-08	 1.5200E-03	 2.9196E-08	-4.4236E-08	 0.0000E+00	-3.4472E-08	-3.0500E-03	-3.0058E-08	-3.4472E-08	 0.0000E+00	-1.5202E-08	 4.7000E-04	 1.0792E-08	-1.5202E-08	 0.0000E+00	 1	 1.9042E-10	-2.2420E-10	 1.4382E-08	  26242	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -8.4	10/24/20 1529	10/23/20 1500	1.00	 -0.08	-15.51	-19.71	-19.71	220.70	267.77	267.77	 6.0647E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.4306E-08	 1.4700E-03	 2.7979E-08	-4.4306E-08	 0.0000E+00	-3.8103E-08	-3.2400E-03	-3.4663E-08	-3.8103E-08	 0.0000E+00	-1.6222E-08	 6.1000E-04	 1.3190E-08	-1.6222E-08	 0.0000E+00	 1	 2.1549E-10	-2.5373E-10	 1.6276E-08	  29698	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -8.2	10/24/20 1529	10/23/20 1500	1.00	 -0.08	-16.60	-20.02	-20.02	224.07	267.15	267.15	 6.5157E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.4863E-08	 1.4300E-03	 2.7006E-08	-4.4863E-08	 0.0000E+00	-4.3432E-08	-3.4100E-03	-3.8784E-08	-4.3432E-08	 0.0000E+00	-1.8612E-08	 7.5000E-04	 1.5588E-08	-1.8612E-08	 0.0000E+00	 1	 2.4056E-10	-2.8325E-10	 1.8169E-08	  33153	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -8.0	10/24/20 1529	10/23/20 1500	1.00	 -0.08	-15.83	-18.37	-18.37	227.38	265.37	265.37	 7.1960E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.6879E-08	 1.4000E-03	 2.6276E-08	-4.6879E-08	 0.0000E+00	-5.0943E-08	-3.6900E-03	-4.5571E-08	-5.0943E-08	 0.0000E+00	-1.9632E-08	 8.6000E-04	 1.7473E-08	-1.9632E-08	 0.0000E+00	 1	 2.6560E-10	-3.1273E-10	 2.0060E-08	  36604	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -7.8	10/24/20 1529	10/23/20 1500	1.00	 -0.08	-17.51	-19.82	-19.82	229.02	265.14	265.14	 7.5464E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.7192E-08	 1.3900E-03	 2.6033E-08	-4.7192E-08	 0.0000E+00	-5.4333E-08	-3.8000E-03	-4.8238E-08	-5.4333E-08	 0.0000E+00	-2.2708E-08	 9.4000E-04	 1.8843E-08	-2.2708E-08	 0.0000E+00	 1	 2.9072E-10	-3.4230E-10	 2.1957E-08	  40065	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -7.6	10/24/20 1529	10/23/20 1500	1.00	 -0.08	-16.43	-17.73	-17.73	233.85	265.95	265.95	 8.2667E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.6775E-08	 1.3600E-03	 2.5303E-08	-4.6775E-08	 0.0000E+00	-6.4025E-08	-4.2200E-03	-5.8418E-08	-6.4025E-08	 0.0000E+00	-2.3383E-08	 1.0200E-03	 2.0213E-08	-2.3383E-08	 0.0000E+00	 1	 3.1580E-10	-3.7184E-10	 2.3852E-08	  43522	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -7.4	10/24/20 1529	10/23/20 1500	1.00	 -0.07	-17.68	-18.44	-18.44	237.14	267.96	267.96	 8.5443E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.4169E-08	 1.3900E-03	 2.6033E-08	-4.4169E-08	 0.0000E+00	-6.8385E-08	-4.3400E-03	-6.1327E-08	-6.8385E-08	 0.0000E+00	-2.5945E-08	 1.0500E-03	 2.0727E-08	-2.5945E-08	 0.0000E+00	 1	 3.4086E-10	-4.0135E-10	 2.5745E-08	  46976	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -7.2	10/24/20 1529	10/23/20 1500	1.00	 -0.07	-18.12	-18.35	-18.35	240.34	269.76	269.76	 8.8371E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.1562E-08	 1.4500E-03	 2.7493E-08	-4.1562E-08	 0.0000E+00	-7.2987E-08	-4.6000E-03	-6.7630E-08	-7.2987E-08	 0.0000E+00	-2.7478E-08	 1.0800E-03	 2.1241E-08	-2.7478E-08	 0.0000E+00	 1	 3.6597E-10	-4.3091E-10	 2.7641E-08	  50436	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -7.0	10/24/20 1529	10/23/20 1500	1.00	 -0.07	-18.16	-17.98	-17.98	243.69	271.01	271.01	 9.3651E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-3.9442E-08	 1.4800E-03	 2.8223E-08	-3.9442E-08	 0.0000E+00	-7.9769E-08	-4.8800E-03	-7.4417E-08	-7.9769E-08	 0.0000E+00	-2.9184E-08	 1.1100E-03	 2.1755E-08	-2.9184E-08	 0.0000E+00	 1	 3.9196E-10	-4.6151E-10	 2.9603E-08	  54017	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -6.8	10/24/20 1529	10/23/20 1500	1.00	 -0.07	-17.17	-16.71	-16.71	246.96	271.60	271.60	 1.0175E-07	  0.00	 90.00	  0.00	  0.00	  0.00	-3.8052E-08	 1.4600E-03	 2.7736E-08	-3.8052E-08	 0.0000E+00	-8.9462E-08	-5.1600E-03	-8.1204E-08	-8.9462E-08	 0.0000E+00	-3.0031E-08	 1.1600E-03	 2.2612E-08	-3.0031E-08	 0.0000E+00	 1	 4.1797E-10	-4.9214E-10	 3.1568E-08	  57602	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -6.6	10/24/20 1529	10/23/20 1500	1.00	 -0.07	-17.21	-16.50	-16.50	249.24	272.57	272.57	 1.0613E-07	  0.00	 90.00	  0.00	  0.00	  0.00	-3.5933E-08	 1.4800E-03	 2.8223E-08	-3.5933E-08	 0.0000E+00	-9.4793E-08	-5.3800E-03	-8.6537E-08	-9.4793E-08	 0.0000E+00	-3.1394E-08	 1.1600E-03	 2.2612E-08	-3.1394E-08	 0.0000E+00	 1	 4.4305E-10	-5.2166E-10	 3.3462E-08	  61058	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -6.4	10/24/20 1529	10/23/20 1500	1.00	 -0.06	-16.45	-15.54	-15.54	252.19	273.43	273.43	 1.1444E-07	  0.00	 90.00	  0.00	  0.00	  0.00	-3.3571E-08	 1.4700E-03	 2.7979E-08	-3.3571E-08	 0.0000E+00	-1.0449E-07	-5.7200E-03	-9.4778E-08	-1.0449E-07	 0.0000E+00	-3.2414E-08	 1.1900E-03	 2.3126E-08	-3.2414E-08	 0.0000E+00	 1	 4.6812E-10	-5.5119E-10	 3.5356E-08	  64514	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -6.2	10/24/20 1529	10/23/20 1500	1.00	 -0.06	-15.14	-14.18	-14.18	255.10	273.65	273.65	 1.2864E-07	  0.00	 90.00	  0.00	  0.00	  0.00	-3.1937E-08	 1.4100E-03	 2.6520E-08	-3.1937E-08	 0.0000E+00	-1.2000E-07	-6.2700E-03	-1.0811E-07	-1.2000E-07	 0.0000E+00	-3.3604E-08	 1.2000E-03	 2.3297E-08	-3.3604E-08	 0.0000E+00	 1	 4.9320E-10	-5.8072E-10	 3.7250E-08	  67970	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -6.0	10/24/20 1529	10/23/20 1500	1.00	 -0.06	-14.27	-13.26	-13.26	256.70	273.89	273.89	 1.3700E-07	  0.00	 90.00	  0.00	  0.00	  0.00	-3.0547E-08	 1.3600E-03	 2.5303E-08	-3.0547E-08	 0.0000E+00	-1.2921E-07	-6.7600E-03	-1.1999E-07	-1.2921E-07	 0.0000E+00	-3.3767E-08	 1.2600E-03	 2.4325E-08	-3.3767E-08	 0.0000E+00	 1	 5.1827E-10	-6.1024E-10	 3.9144E-08	  71425	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -5.8	10/24/20 1529	10/23/20 1500	1.00	 -0.06	-13.18	-12.15	-12.15	259.19	274.60	274.60	 1.5030E-07	  0.00	 90.00	  0.00	  0.00	  0.00	-2.7455E-08	 1.2900E-03	 2.3600E-08	-2.7455E-08	 0.0000E+00	-1.4374E-07	-7.3300E-03	-1.3380E-07	-1.4374E-07	 0.0000E+00	-3.4272E-08	 1.3200E-03	 2.5352E-08	-3.4272E-08	 0.0000E+00	 1	 5.4335E-10	-6.3976E-10	 4.1038E-08	  74881	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -5.6	10/24/20 1529	10/23/20 1500	1.00	 -0.06	-11.88	-10.93	-10.93	260.76	274.31	274.31	 1.6890E-07	  0.00	 90.00	  0.00	  0.00	  0.00	-2.6550E-08	 1.1700E-03	 2.0681E-08	-2.6550E-08	 0.0000E+00	-1.6313E-07	-8.2000E-03	-1.5489E-07	-1.6313E-07	 0.0000E+00	-3.4778E-08	 1.4000E-03	 2.6723E-08	-3.4778E-08	 0.0000E+00	 1	 5.6841E-10	-6.6927E-10	 4.2931E-08	  78335	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-11+Y_2mm_24-10-2017_SmallSRM_YJ	  1095	 -5.4	10/24/20 1529	10/23/20 1500	1.00	 -0.05	-10.95	-10.08	-10.08	262.11	274.14	274.14	 1.8844E-07	  0.00	 90.00	  0.00	  0.00	  0.00	-2.5405E-08	 1.0400E-03	 1.7518E-08	-2.5405E-08	 0.0000E+00	-1.8325E-07	-9.0100E-03	-1.7453E-07	-1.8325E-07	 0.0000E+00	-3.5797E-08	 1.4300E-03	 2.7237E-08	-3.5797E-08	 0.0000E+00	 1	 5.9442E-10	-6.9990E-10	 4.4895E-08	  81920	 7.7856E-09	 1.3138E-08	-4.3874E-08	-5.0177E-08	-2.7408E-09	 4.0153E-07	      0	 737664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
